REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,PWRTRNNPLXX,ELCNPLXX02,1.0,2056.0,1.0
GLOBAL,PWRTRNNPLXX,ELCNPLXX02,1.0,2057.0,1.0
GLOBAL,PWRTRNNPLXX,ELCNPLXX02,1.0,2058.0,1.0
GLOBAL,PWRTRNNPLXX,ELCNPLXX02,1.0,2059.0,1.0
GLOBAL,PWRTRNNPLXX,ELCNPLXX02,1.0,2060.0,1.0
GLOBAL,PWRTRNNPLXX,ELCNPLXX02,1.0,2061.0,1.0
GLOBAL,PWRTRNNPLXX,ELCNPLXX02,1.0,2062.0,1.0
GLOBAL,PWRTRNNPLXX,ELCNPLXX02,1.0,2063.0,1.0
GLOBAL,PWRTRNNPLXX,ELCNPLXX02,1.0,2064.0,1.0
GLOBAL,PWRTRNNPLXX,ELCNPLXX02,1.0,2065.0,1.0
GLOBAL,PWRTRNNPLXX,ELCNPLXX02,1.0,2066.0,1.0
GLOBAL,PWRTRNNPLXX,ELCNPLXX02,1.0,2067.0,1.0
GLOBAL,PWRTRNNPLXX,ELCNPLXX02,1.0,2068.0,1.0
GLOBAL,PWRTRNNPLXX,ELCNPLXX02,1.0,2069.0,1.0
GLOBAL,PWRTRNNPLXX,ELCNPLXX02,1.0,2070.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2020.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2021.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2022.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2023.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2024.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2025.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2026.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2027.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2028.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2029.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2030.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2031.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2032.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2033.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2034.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2035.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2036.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2037.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2038.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2039.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2040.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2041.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2042.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2043.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2044.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2045.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2046.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2047.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2048.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2049.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2050.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2051.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2052.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2053.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2054.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2055.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2056.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2057.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2058.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2059.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2060.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2061.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2062.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2063.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2064.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2065.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2066.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2067.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2068.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2069.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,1.0,2070.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2020.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2021.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2022.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2023.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2024.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2025.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2026.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2027.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2028.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2029.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2030.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2031.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2032.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2033.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2034.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2035.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2036.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2037.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2038.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2039.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2040.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2041.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2042.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2043.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2044.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2045.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2046.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2047.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2048.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2049.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2050.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2051.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2052.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2053.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2054.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2055.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2056.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2057.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2058.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2059.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2060.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2061.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2062.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2063.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2064.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2065.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2066.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2067.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2068.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2069.0,1.0
GLOBAL,PWRCCGNPLXX01,ELCNPLXX01,2.0,2070.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2020.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2021.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2022.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2023.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2024.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2025.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2026.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2027.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2028.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2029.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2030.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2031.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2032.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2033.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2034.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2035.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2036.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2037.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2038.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2039.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2040.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2041.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2042.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2043.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2044.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2045.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2046.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2047.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2048.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2049.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2050.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2051.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2052.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2053.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2054.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2055.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2056.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2057.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2058.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2059.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2060.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2061.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2062.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2063.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2064.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2065.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2066.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2067.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2068.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2069.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,1.0,2070.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2020.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2021.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2022.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2023.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2024.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2025.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2026.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2027.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2028.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2029.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2030.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2031.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2032.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2033.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2034.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2035.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2036.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2037.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2038.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2039.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2040.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2041.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2042.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2043.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2044.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2045.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2046.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2047.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2048.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2049.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2050.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2051.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2052.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2053.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2054.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2055.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2056.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2057.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2058.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2059.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2060.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2061.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2062.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2063.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2064.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2065.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2066.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2067.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2068.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2069.0,1.0
GLOBAL,PWROCGNPLXX01,ELCNPLXX01,2.0,2070.0,1.0
